"sample","group"
"Mmus_C57-6CR_LVR_GC_Rep1","(Ground Control)"
"Mmus_C57-6CR_LVR_GC_Rep2","(Ground Control)"
"Mmus_C57-6CR_LVR_GC_Rep3","(Ground Control)"
"Mmus_C57-6CR_LVR_GC_Rep4","(Ground Control)"
"Mmus_C57-6CR_LVR_GC_Rep5","(Ground Control)"
"Mmus_C57-6CR_LVR_FLT_Rep1","(Space Flight)"
"Mmus_C57-6CR_LVR_FLT_Rep2","(Space Flight)"
"Mmus_C57-6CR_LVR_FLT_Rep3","(Space Flight)"
"Mmus_C57-6CR_LVR_FLT_Rep4","(Space Flight)"
"Mmus_C57-6CR_LVR_FLT_Rep5","(Space Flight)"
"Mmus_C57-6CR_LVR_FLT_Rep6","(Space Flight)"
"Mmus_C57-6CR_LVR_VIV_Rep1","(Vivarium Control)"
"Mmus_C57-6CR_LVR_VIV_Rep2","(Vivarium Control)"
"Mmus_C57-6CR_LVR_VIV_Rep3","(Vivarium Control)"
"Mmus_C57-6CR_LVR_VIV_Rep4","(Vivarium Control)"
"Mmus_C57-6CR_LVR_VIV_Rep5","(Vivarium Control)"
"Mmus_C57-6CR_LVR_VIV_Rep6","(Vivarium Control)"
